City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,27.32,78,100,8.52,MU,1706642449
1,stanley,54.868,-1.6985,4.74,82,20,3.09,GB,1706642077
2,pariaman,-0.619,100.12,27.03,83,100,1.77,ID,1706642449
3,margaret river,-33.95,115.0667,14.75,87,2,4.44,AU,1706642450
4,yellowknife,62.456,-114.3525,-9.71,92,100,6.17,CA,1706642078
5,thabazimbi,-24.5917,27.4116,24.38,58,12,2.19,ZA,1706642450
6,hithadhoo,-0.6,73.0833,27.74,76,100,3.21,MV,1706642450
7,iqaluit,63.7506,-68.5145,-20.15,64,40,5.14,CA,1706642451
8,waitangi,-43.9535,-176.5597,17.12,98,100,2.24,NZ,1706642451
9,qaqortoq,60.7167,-46.0333,-23.12,75,25,3.92,GL,1706642451
10,ambon,-3.6954,128.1814,26.71,14,40,3.09,ID,1706642451
11,wailua homesteads,22.0669,-159.378,23.24,82,40,1.79,US,1706642452
12,antalaha,-14.9003,50.2788,25.05,87,100,3.51,MG,1706642452
13,ilulissat,69.2167,-51.1,-22.99,49,20,5.66,GL,1706642452
14,papatowai,-46.5619,169.4708,12.01,83,66,3.65,NZ,1706642453
15,taulaga,-11.0553,-171.0883,28.42,68,100,3.46,AS,1706642453
16,revda,56.801,59.9303,-7.51,94,100,3.9,RU,1706642453
17,greenville,35.6127,-77.3663,11.19,51,0,1.54,US,1706642228
18,west island,-12.1568,96.8225,26.99,74,40,2.57,CC,1706642454
19,utrik,11.2278,169.8474,26.01,74,100,9.68,MH,1706642454
20,san luis de la loma,17.2706,-100.8939,29.73,57,100,2.56,MX,1706642454
21,prien,30.1819,-93.2738,22.01,42,0,5.66,US,1706642455
22,bethel,41.3712,-73.414,2.51,66,100,0.45,US,1706642412
23,afaahiti,-17.75,-149.2833,28.93,82,100,2.59,PF,1706642455
24,olyokminsk,60.3736,120.4264,-38.84,100,45,1.43,RU,1706642415
25,fort bragg,35.139,-79.006,13.84,48,0,2.68,US,1706642456
26,warman,52.3168,-106.5679,5.95,70,75,6.17,CA,1706642456
